Year,Title,Theater,Day of the Week,Date,Time,Saw with April
2016,Don't Think Twice,Baxter Avenue,Monday,8/29/2016,7:35 PM,Y
2016,The Magnificent Seven,Mall St. Matthews,Thursday,9/22/2016,7:00 PM,Y
2016,Miss Peregrine's Home for Peculiar Children,Mall St. Matthews,Tuesday,10/4/2016,3:00 PM,N
2016,Girl on A Train,Baxter Avenue,Monday,10/10/2016,1:15 PM,N
2016,The Accountant,Tinseltown,Monday,10/17/2016,12:00 PM,Y
2016,Doctor Strange,Baxter Avenue,Friday,11/4/2016,4:30 PM,Y
2016,Fantastic Beasts and Where to Find Them,Baxter Avenue,Monday,11/21/2016,1:00 PM,Y
2016,Moana,Tinseltown,Thursday,11/24/2016,7:40 PM,Y
2016,Moana,Tinseltown,Sunday,11/27/2016,11:25 AM,Y
2016,Doctor Strange,Tinseltown,Sunday,11/27/2016,1:50 PM,Y
2016,Arrival,Tinseltown,Tuesday,11/29/2016,1:25 PM,N
2016,Star Wars: Rogue One,Baxter Avenue,Thursday,12/15/2016,7:30 PM,Y
2016,Star Wars: Rogue One,Baxter Avenue,Sunday,12/18/2016,7:30 PM,Y
2016,Assassin's Creed,Mall St. Matthews,Friday,12/30/2016,1:15 PM,N
2017,Sing,Baxter Avenue,Wednesday,1/4/2017,7:00 PM,Y
2017,Hidden Figures,Baxter Avenue,Sunday,1/15/2017,1:10 PM,Y
2017,Patriot's Day,Baxter Avenue,Saturday,1/21/2017,1:15 PM,Y
2017,The Founder,Tinseltown,Saturday,2/4/2017,2:15 PM,Y
2017,Murder on the Orient Express,Mall St. Matthews,Sunday,2/5/2017,12:45 PM,Y
2017,Lego Batman,Baxter Avenue,Saturday,2/18/2017,12:50 PM,Y
2017,Logan,Baxter Avenue,Sunday,3/5/2017,1:15 PM,Y
2017,The Great Wall,Mall St. Matthews,Monday,3/6/2017,12:10 PM,N
2017,Star Wars: Rogue One,Village 8,Tuesday,3/7/2017,12:55 PM,N
2017,Kong: Skull Island,Baxter Avenue,Tuesday,3/14/2017,1:30 PM,N
